index,job_title,salary_$_K,location,size,founded,headquarters,company_name,sector,revenue,rating,type_of_ownership,industry
0,data_scientist,120-200,"new york, ny",1001 to 5000 employees,1993.0,"new york, ny",healthfirst,insurance,unknown_non_applicable,3.1,nonprofit_organization,insurance_agencies
1,data_scientist,120-200,"chantilly, va",5001 to 10000 employees,1968.0,"herndon, va",mantech,business services,1 to 2B,4.2,company_public,others
2,data_scientist,120-200,"boston, ma",1001 to 5000 employees,1981.0,"boston, ma",analysis group,business services,100 to 500M,3.8,private_practice_firm,consulting
3,data_scientist,120-200,"newton, ma",501 to 1000 employees,2000.0,"bad ragaz, switzerland",inficon,manufacturing,100 to 500M,3.5,company_public,manufacturing
4,data_scientist,120-200,"new york, ny",51 to 200 employees,1998.0,"new york, ny",affinity solutions,business services,unknown_non_applicable,2.9,company_private,advertising_marketing
5,data_scientist,120-200,"santa barbara, ca",51 to 200 employees,2010.0,"santa barbara, ca",hg insights,information technology,unknown_non_applicable,4.2,company_private,computer_hardware_software
6,data_scientist,120-200,"cambridge, ma",10000+ employees,1996.0,"basel, switzerland",novartis,biotech_&_pharmaceuticals,10B+,3.9,company_public,others
7,data_scientist,120-200,"bedford, ma",1001 to 5000 employees,1990.0,"bedford, ma",irobot,retail,1 to 2B,3.5,company_public,others
8,data_scientist,120-200,"san diego, ca",5001 to 10000 employees,1983.0,"mountain view, ca",intuit - data,information technology,2 to 5B,4.4,company_public,computer_hardware_software
9,data_scientist,120-200,"chicago, il",51 to 200 employees,2014.0,"chicago, il",xsell technologies,information technology,unknown_non_applicable,3.6,company_private,enterprise_software_network_solutions 
10,data_scientist,120-200,"herndon, va",501 to 1000 employees,2012.0,"mc lean, va",novetta,information technology,100 to 500M,4.5,company_private,enterprise_software_network_solutions 
11,data_scientist,120-200,"saint louis, mo",51 to 200 employees,2016.0,"saint louis, mo",1904labs,information technology,unknown_non_applicable,4.7,company_private,others
12,data_scientist,120-200,"richland, wa",1001 to 5000 employees,1965.0,"richland, wa",pnnl,"oil, gas, energy_&_utilities",500M to 1B,3.7,government,energy_and_utilities
13,others,120-200,"northbrook, il",201 to 500 employees,1973.0,"northbrook, il",old world industries,manufacturing,1 to 2B,3.1,company_private,manufacturing
14,data_scientist,120-200,"washington, dc",1001 to 5000 employees,1986.0,"princeton, nj",mathematica policy research,business services,100 to 500M,3.4,company_private,consulting
15,data_scientist,120-200,"washington, dc",1 to 50 employees,1997.0,"mays landing, nj",guzman & griffin technologies (ggti),government,unknown_non_applicable,4.4,company_private,government_public_sector
16,data_scientist,120-200,remote,51 to 200 employees,2015.0,"washington, dc",upside business travel,information technology,unknown_non_applicable,4.1,company_private,internet_telephone_providers
